|0|1
0|Telefon mobil Samsung Galaxy A14, Dual SIM, 4GB RAM, 64GB, 4G, Silver|659,99 Lei
1|Telefon mobil OUKITEL WP12 Pro, Android 11, 4GB/64GB, Dual SIM 4G, IP68, Face ID/NFC, Rosu|670,67 Lei
2|Telefon mobil Samsung Galaxy A34, Dual SIM, 6GB RAM, 128GB, 5G, Black|1.299,99 Lei
3|Telefon mobil Motorola Moto g13, Dual SIM, 128GB, 4GB RAM, Matte Charcoal|649,99 Lei
4|Telefon mobil Motorola Moto g23, Dual SIM, 128GB, 8GB RAM, Matte Charcoal|749,99 Lei
5|Telefon mobil Samsung Galaxy A04s, 32GB, 3GB RAM, 4G, Green|549,99 Lei
6|Telefon mobil Samsung Galaxy A14, Dual SIM, 4GB RAM, 128GB, 4G, Black|799,99 Lei
7|Telefon mobil Motorola Moto G31, Dual SIM, 64GB, 4GB RAM, 4G, Blue|599,99 Lei
8|Telefon mobil Samsung Galaxy A14, Dual SIM, 4GB RAM, 64GB, 4G, Black|748,51 Lei
9|Telefon mobil Samsung Galaxy A54, Dual SIM, 8GB RAM, 128GB, 5G, Black|1.749,99 Lei
10|Telefon mobil Motorola Edge 30 Fusion, Dual SIM, 128GB, 8GB RAM, 5G, Aurora White|1.899,99 Lei
11|Telefon mobil Xiaomi Redmi A1, Dual SIM, 2GB RAM, 32GB, 4G, BLACK|369,99 Lei
12|Telefon mobil Samsung Galaxy A14, Dual SIM, 4GB RAM, 128GB, 4G, Silver|799,99 Lei
13|Telefon mobil Xiaomi Redmi Note 12 Pro, 8GB RAM, 256GB, 5G, Midnight Black|1.577,49 Lei
14|Telefon mobil Samsung Galaxy A04s, 32GB, 3GB RAM, 4G, Black|539,99 Lei
15|Telefon mobil Xiaomi Redmi Note 12 Pro, Dual SIM, 256GB, 8GB RAM, 4G, Graphite Grey|1.259,00 Lei
16|Telefon mobil Samsung Galaxy A54, Dual SIM, 8GB RAM, 128GB, 5G, Light Violet|1.649,99 Lei
17|Telefon mobil Apple iPhone 14, 128GB, 5G, Midnight|4.199,99 Lei
18|Telefon mobil Apple iPhone 11, 64GB, Black|2.449,99 Lei
19|Telefon mobil Samsung Galaxy A04e, 32GB, 3GB RAM, 4G, Copper|500,00 Lei
20|Telefon mobil Samsung Galaxy A54, Dual SIM, 8GB RAM,256GB, 5G, Black|1.849,99 Lei
21|Telefon mobil Samsung Galaxy S23, Dual SIM, 8GB RAM, 256GB, 5G, Phantom Black|3.734,99 Lei
22|Telefon mobil Apple iPhone 14 Pro, 128GB, 5G, Deep Purple|5.599,99 Lei
23|Telefon mobil Apple iPhone 11, 128GB, Black|2.799,99 Lei
24|Telefon mobil OUKITEL WP12 Pro, Android 11, 4GB/64GB, Dual SIM 4G, IP68, Face ID/NFC, Rosu|670,67 Lei
25|Telefon mobil Samsung Galaxy S23, Dual SIM, 8GB RAM, 128GB, 5G, Phantom Black|3.650,00 Lei
26|Telefon mobil Apple iPhone 14 Pro, 128GB, 5G, Space Black|5.599,99 Lei
27|Telefon mobil Apple iPhone 11, 64GB, White|2.399,99 Lei
28|Telefon mobil Apple iPhone 14, 128GB, 5G, Purple|4.199,99 Lei
29|Telefon mobil Samsung Galaxy A14, Dual SIM, 4GB RAM, 64GB, 4G, Light Green|659,99 Lei
30|Telefon mobil Apple iPhone 13, 128GB, 5G, Midnight|3.999,99 Lei
31|Telefon mobil Samsung Galaxy A04e, 32GB, 3GB RAM, 4G, Black|500,00 Lei
32|Telefon mobil Nokia 105 (2019), Single SIM, Black|86,99 Lei
33|Telefon mobil Apple iPhone 14 Pro Max, 128GB, 5G, Space Black|6.299,99 Lei
34|Telefon mobil Samsung Galaxy S23 Ultra, Dual SIM, 8GB RAM, 256GB, 5G, Phantom Black|5.419,00 Lei
35|Telefon mobil Samsung Galaxy A04s, 32GB, 3GB RAM, 4G, White|635,00 Lei
